,State,County,latitude,longitude
19931,IN,Boone,40.05,-86.47
19955,IN,Hendricks,39.68,-86.61
19956,IN,Rush,39.65,-85.57
19957,IN,Putnam,39.76,-86.81
19958,IN,Johnson,39.51,-86.16
19959,IN,Marion,39.71,-86.08
19960,IN,Shelby,39.56,-85.91
19961,IN,Morgan,39.54,-86.37
19979,IN,Fayette,39.62,-85.3
19987,IN,Henry,39.79,-85.52
20079,IN,Porter,41.68,-86.97
20081,IN,Lake,41.37,-87.43
20085,IN,Jasper,41.16,-87.26
20096,IN,La Porte,41.4,-86.75
20103,IN,Newton,41.12,-87.45
20111,IN,Starke,41.21,-86.77
20143,IN,Marshall,41.23,-86.24
20144,IN,Kosciusko,41.26,-85.97
20147,IN,Elkhart,41.72,-85.81
20160,IN,St Joseph,41.73,-86.13
20173,IN,St. Joseph,41.66,-86.16
20183,IN,Lagrange,41.67,-85.57
20213,IN,Noble,41.39,-85.41
20214,IN,Huntington,40.85,-85.6
20215,IN,Steuben,41.64,-85
20216,IN,Allen,41.1,-85.3
20217,IN,De Kalb,41.52,-85.06
20220,IN,Adams,40.65,-84.95
20222,IN,Wells,40.74,-85.17
20224,IN,Whitley,41.23,-85.32
20282,IN,Fulton,40.94,-86.26
20323,IN,Howard,40.47,-86.13
20328,IN,Miami,40.6,-85.92
20330,IN,Carroll,40.51,-86.52
20335,IN,Grant,40.57,-85.87
20344,IN,Cass,40.58,-86.19
20351,IN,Wabash,40.67,-85.72
20365,IN,Pulaski,41.15,-86.48
20393,IN,Dearborn,39.06,-84.9
20394,IN,Union,39.56,-84.81
20395,IN,Ripley,39.29,-85.21
20396,IN,Franklin,39.49,-84.83
20397,IN,Switzerland,38.87,-85.07
20419,IN,Ohio,38.95,-84.85
20424,IN,Scott,38.74,-85.81
20425,IN,Clark,38.53,-85.41
20427,IN,Harrison,38.36,-86.06
20428,IN,Washington,38.65,-86.26
20434,IN,Crawford,38.31,-86.61
20437,IN,Floyd,38.31,-85.86
20442,IN,Orange,38.46,-86.27
20480,IN,Bartholomew,39.21,-85.91
20483,IN,Jackson,38.88,-86.04
20484,IN,Jennings,39.12,-85.49
20485,IN,Jefferson,38.86,-85.3
20486,IN,Decatur,39.43,-85.35
20518,IN,Delaware,40.19,-85.39
20527,IN,Wayne,39.74,-84.85
20529,IN,Jay,40.53,-84.96
20535,IN,Blackford,40.37,-85.2
20539,IN,Randolph,40.18,-85.12
20581,IN,Monroe,39.16,-86.52
20589,IN,Lawrence,38.91,-86.59
20591,IN,Greene,39.02,-86.93
20593,IN,Owen,39.24,-86.98
20600,IN,Brown,39.28,-86.3
20617,IN,Martin,38.91,-86.91
20631,IN,Daviess,38.65,-87.17
20632,IN,Knox,38.77,-87.3
20633,IN,Dubois,38.31,-86.69
20634,IN,Perry,38.16,-86.58
20641,IN,Spencer,38.16,-86.98
20667,IN,Pike,38.48,-87.1
20688,IN,Warrick,38.04,-87.27
20691,IN,Posey,38.18,-87.7
20697,IN,Vanderburgh,38.09,-87.57
20708,IN,Gibson,38.2,-87.57
20755,IN,Vigo,39.47,-87.38
20765,IN,Parke,39.75,-87.06
20766,IN,Vermillion,39.65,-87.46
20768,IN,Clay,39.38,-86.99
20772,IN,Sullivan,38.96,-87.4
20813,IN,Tippecanoe,40.41,-86.87
20821,IN,Montgomery,39.98,-87.05
20822,IN,Warren,40.48,-87.51
20823,IN,Fountain,40.28,-87.24
20825,IN,Benton,40.51,-87.38
20827,IN,White,40.6,-86.86
20890,MI,St Clair,42.61,-82.53
20892,MI,Lapeer,42.92,-83.04
20893,MI,St. Clair,42.69,-82.69
20894,MI,Macomb,42.84,-82.88
20896,MI,Oakland,42.58,-83.14
20969,MI,Wayne,42.25,-83.21
20970,MI,Washtenaw,42.27,-83.73
20977,MI,Monroe,42.01,-83.66
20981,MI,Livingston,42.53,-83.78
21176,MI,Sanilac,43.35,-82.63
21178,MI,Genesee,42.92,-83.51
21180,MI,Huron,43.8,-82.99
21181,MI,Shiawassee,42.87,-84.06
21182,MI,Saginaw,43.25,-83.79
21199,MI,Tuscola,43.25,-83.37
21266,MI,Arenac,44.11,-84.11
21267,MI,Bay,43.6,-84.07
21268,MI,Gladwin,43.88,-84.48
21271,MI,Gratiot,43.4,-84.47
21273,MI,Clare,43.82,-84.76
21274,MI,Midland,43.75,-84.58
21275,MI,Oscoda,44.8,-84.05
21283,MI,Roscommon,44.46,-84.75
21291,MI,Ogemaw,44.43,-84.01
21319,MI,Alcona,44.68,-83.6
21334,MI,Iosco,44.28,-83.48
21375,MI,Isabella,43.59,-84.77
21376,MI,Ingham,42.7,-84.41
21379,MI,Clinton,42.81,-84.44
21380,MI,Ionia,43.09,-85.23
21381,MI,Montcalm,43.17,-84.84
21383,MI,Eaton,42.56,-84.83
21462,MI,Barry,42.72,-85.13
21487,MI,Kalamazoo,42.27,-85.58
21496,MI,Allegan,42.52,-85.84
21497,MI,Calhoun,42.08,-85.23
21499,MI,Van Buren,42.31,-86.11
21508,MI,Berrien,42.11,-86.44
21513,MI,Branch,41.87,-85.19
21515,MI,St Joseph,41.84,-85.32
21516,MI,Cass,41.91,-86
21601,MI,Jackson,42.24,-84.4
21605,MI,Lenawee,41.98,-84.34
21608,MI,Hillsdale,41.95,-84.76
21663,MI,Kent,42.95,-85.48
21665,MI,Muskegon,43.27,-85.81
21666,MI,Lake,43.89,-85.85
21667,MI,Mecosta,43.74,-85.14
21670,MI,Newaygo,43.74,-85.86
21712,MI,Ottawa,42.98,-85.95
21713,MI,Mason,43.91,-86.12
21729,MI,Oceana,43.69,-86.36
21798,MI,Wexford,44.24,-85.41
21799,MI,Grand Traverse,44.76,-85.48
21800,MI,Antrim,44.96,-84.98
21802,MI,Manistee,44.51,-86.23
21805,MI,Benzie,44.61,-86.09
21810,MI,Leelanau,44.85,-85.8
21819,MI,Osceola,43.9,-85.27
21820,MI,Missaukee,44.25,-85.08
21821,MI,Kalkaska,44.57,-85.35
21868,MI,Emmet,45.77,-84.74
21869,MI,Cheboygan,45.31,-84.45
21871,MI,Alpena,45.07,-83.43
21872,MI,Montmorency,45,-84.15
21873,MI,Chippewa,46.28,-84.28
21874,MI,Charlevoix,45.34,-85.15
21881,MI,Mackinac,45.99,-84.36
21893,MI,Crawford,44.78,-84.73
21894,MI,Otsego,45.02,-84.67
21901,MI,Presque Isle,45.3,-83.9
21945,MI,Dickinson,45.82,-88.06
21947,MI,Keweenaw,47.28,-88.4
21948,MI,Alger,46.43,-86.83
21949,MI,Delta,45.72,-87.3
21950,MI,Marquette,46.81,-87.72
21951,MI,Menominee,45.58,-87.55
21969,MI,Schoolcraft,46.25,-85.92
21980,MI,Luce,46.37,-85.74
21984,MI,Baraga,46.53,-88.11
22014,MI,Iron,46.04,-88.37
22016,MI,Houghton,47.09,-88.71
22018,MI,Ontonagon,46.6,-89.57
22019,MI,Gogebic,46.47,-90.04
22060,IA,Warren,41.36,-93.47
22061,IA,Guthrie,41.5,-94.64
22062,IA,Dallas,41.61,-94.02
22063,IA,Marshall,42.11,-92.98
22064,IA,Hardin,42.51,-93.37
22065,IA,Polk,41.81,-93.61
22066,IA,Wayne,40.7,-93.36
22068,IA,Story,42.02,-93.62
22073,IA,Cass,41.44,-94.76
22077,IA,Audubon,41.71,-94.92
22079,IA,Mahaska,41.5,-92.46
22080,IA,Jasper,41.82,-93.15
22082,IA,Boone,42.03,-94.14
22085,IA,Hamilton,42.47,-93.64
22092,IA,Franklin,42.6,-93.2
22095,IA,Marion,41.2,-92.88
22099,IA,Lucas,41.01,-93.3
22100,IA,Greene,42.15,-94.47
22107,IA,Carroll,41.87,-94.67
22114,IA,Decatur,40.64,-93.81
22120,IA,Wright,42.65,-93.5
22121,IA,Madison,41.49,-94.12
22123,IA,Ringgold,40.84,-94.1
22131,IA,Keokuk,41.48,-92.39
22139,IA,Poweshiek,41.74,-92.72
22173,IA,Union,41.12,-94.05
22174,IA,Monroe,41.13,-92.9
22195,IA,Tama,41.98,-92.71
22196,IA,Clarke,41.04,-93.94
22237,IA,Adair,41.5,-94.31
22319,IA,Cerro Gordo,43.15,-93.19
22323,IA,Hancock,43.09,-93.8
22324,IA,Winnebago,43.38,-93.94
22325,IA,Mitchell,43.41,-93.01
22332,IA,Worth,43.26,-93.42
22333,IA,Floyd,43.12,-92.73
22345,IA,Kossuth,43.37,-94.09
22358,IA,Howard,43.36,-92.55
22376,IA,Webster,42.5,-94.17
22377,IA,Buena Vista,42.78,-94.94
22379,IA,Emmet,43.39,-94.47
22380,IA,Palo Alto,43.04,-94.83
22384,IA,Humboldt,42.86,-94.28
22399,IA,Sac,42.46,-95.15
22401,IA,Calhoun,42.27,-94.4
22403,IA,Pocahontas,42.58,-94.84
22452,IA,Butler,42.75,-92.79
22453,IA,Chickasaw,43.19,-92.41
22456,IA,Fayette,42.74,-91.67
22457,IA,Buchanan,42.61,-91.72
22459,IA,Grundy,42.22,-92.82
22462,IA,Black Hawk,42.52,-92.45
22468,IA,Bremer,42.67,-92.33
22496,IA,Delaware,42.47,-91.59
22530,IA,Taylor,40.67,-94.72
22534,IA,Adams,41.04,-94.82
22541,IA,Montgomery,41.14,-94.98
22563,IA,Plymouth,42.82,-96.55
22565,IA,Sioux,42.98,-96
22566,IA,Woodbury,42.38,-95.86
22567,IA,Cherokee,42.71,-95.43
22568,IA,Ida,42.31,-95.59
22571,IA,Obrien,42.94,-95.55
22572,IA,Monona,42.07,-95.9
22603,IA,Clay,42.91,-95.34
22628,IA,Lyon,43.34,-96.3
22630,IA,Osceola,43.3,-95.79
22648,IA,Dickinson,43.36,-95.13
22674,IA,Crawford,41.91,-95.13
22684,IA,Shelby,41.79,-95.2
22703,IA,Pottawattamie,41.24,-95.85
22714,IA,Harrison,41.85,-95.59
22718,IA,Mills,41.01,-95.4
22760,IA,Page,40.75,-95.36
22769,IA,Fremont,40.71,-95.48
22782,IA,Dubuque,42.5,-90.69
22786,IA,Jackson,42.15,-90.59
22789,IA,Jones,42.29,-91
22790,IA,Clayton,42.63,-91.2
22792,IA,Clinton,41.99,-90.6
22828,IA,Winneshiek,43.3,-91.79
22834,IA,Allamakee,43.46,-91.51
22861,IA,Washington,41.29,-91.55
22862,IA,Linn,42.14,-91.61
22863,IA,Iowa,41.8,-91.86
22866,IA,Benton,41.99,-91.85
22876,IA,Cedar,41.88,-91.05
22892,IA,Johnson,41.57,-91.53
22980,IA,Wapello,41.01,-92.41
22983,IA,Jefferson,40.99,-92.16
22985,IA,Van Buren,40.87,-91.94
22987,IA,Davis,40.74,-92.41
22992,IA,Appanoose,40.73,-92.87
23031,IA,Des Moines,40.8,-91.12
23032,IA,Lee,40.53,-91.56
23040,IA,Henry,40.83,-91.71
23047,IA,Louisa,41.09,-91.25
23068,IA,Muscatine,41.57,-91.16
23070,IA,Scott,41.56,-90.47
23123,WI,Sheboygan,43.62,-87.94
23124,WI,Washington,43.47,-88.35
23125,WI,Dodge,43.23,-88.47
23126,WI,Ozaukee,43.5,-87.85
23127,WI,Waukesha,43.06,-88.11
23131,WI,Fond Du Lac,43.59,-88.28
23135,WI,Calumet,44.02,-88.16
23136,WI,Manitowoc,43.91,-87.75
23154,WI,Jefferson,43.16,-88.58
23206,WI,Kenosha,42.52,-88.24
23210,WI,Racine,42.67,-88.27
23213,WI,Milwaukee,42.94,-87.86
23214,WI,Walworth,42.6,-88.71
23291,WI,Iowa,42.96,-90.13
23325,WI,Rock,42.69,-89.09
23326,WI,Green,42.7,-89.43
23328,WI,Lafayette,42.7,-89.86
23332,WI,Dane,42.86,-89.53
23339,WI,Richland,43.18,-90.57
23370,WI,Grant,42.9,-90.43
23371,WI,Columbia,43.31,-89.53
23377,WI,Sauk,43.37,-89.62
23463,WI,Crawford,43.04,-91.14
23469,WI,Adams,43.95,-89.81
23474,WI,Marquette,43.68,-89.57
23479,WI,Green Lake,43.68,-89.19
23482,WI,Juneau,43.74,-90.27
23519,WI,Polk,45.3,-92.36
23520,WI,St Croix,44.96,-92.37
23521,WI,Pierce,44.77,-92.43
23522,WI,Barron,45.32,-92.17
23544,WI,Oconto,44.78,-88.06
23545,WI,Marinette,45.5,-88
23546,WI,Forest,45.65,-88.44
23548,WI,Outagamie,44.47,-88.45
23549,WI,Shawano,44.74,-88.44
23555,WI,Brown,44.43,-88.07
23557,WI,Florence,45.75,-88.43
23568,WI,Menominee,44.88,-88.63
23600,WI,Kewaunee,44.6,-87.44
23601,WI,Door,45.06,-87.12
23642,WI,Marathon,44.96,-89.64
23645,WI,Wood,44.66,-90.17
23647,WI,Portage,44.44,-89.28
23650,WI,Langlade,45.14,-89.15
23660,WI,Clark,44.63,-90.35
23672,WI,Taylor,45.16,-90.8
23674,WI,Lincoln,45.3,-89.5
23694,WI,Price,45.44,-90.29
23697,WI,Oneida,45.5,-89.11
23730,WI,Vilas,46.11,-89.63
23732,WI,Ashland,46.01,-90.49
23739,WI,Iron,46.42,-90.22
23740,WI,Rusk,45.49,-90.89
23775,WI,La Crosse,43.82,-91.23
23778,WI,Buffalo,44.33,-91.92
23779,WI,Jackson,44.43,-90.91
23780,WI,Trempealeau,44.25,-91.49
23786,WI,Monroe,43.74,-90.78
23788,WI,Vernon,43.65,-91.09
23834,WI,Eau Claire,44.82,-91.49
23838,WI,Pepin,44.62,-92.06
23841,WI,Chippewa,45.1,-91.49
23842,WI,Dunn,45.04,-92.03
23889,WI,Washburn,45.82,-91.89
23895,WI,Bayfield,46.81,-90.82
23900,WI,Douglas,46.55,-91.57
23906,WI,Sawyer,45.79,-91.29
23908,WI,Burnett,46,-92.37
23955,WI,Winnebago,44.01,-88.55
23969,WI,Waushara,43.97,-88.95
23970,WI,Waupaca,44.61,-89.01
23980,WI,Fond du Lac,43.77,-88.44
24021,MN,Washington,44.9,-92.81
24022,MN,Chisago,45.52,-92.87
24024,MN,Anoka,45.4,-93.26
24025,MN,Isanti,45.72,-93.17
24026,MN,Pine,45.94,-93.07
24028,MN,Goodhue,44.51,-92.9
24029,MN,Dakota,44.58,-93.09
24037,MN,Rice,44.42,-93.2
24038,MN,Scott,44.56,-93.32
24053,MN,Wabasha,44.44,-92.27
24060,MN,Steele,44.17,-93.24
24061,MN,Kanabec,45.87,-93.29
24095,MN,Ramsey,44.94,-93.1
24105,MN,Hennepin,44.94,-93.1
24145,MN,Wright,45.23,-93.66
24151,MN,Sibley,44.6,-94.07
24152,MN,Sherburne,45.37,-93.87
24154,MN,Renville,44.76,-94.89
24156,MN,McLeod,44.73,-94.35
24159,MN,Carver,44.76,-93.62
24164,MN,Stearns,45.41,-94.04
24168,MN,Meeker,45.09,-94.4
24213,MN,Mille Lacs,45.57,-93.59
24362,MN,Lake,47.25,-91.29
24363,MN,St Louis,47.27,-91.86
24365,MN,Cook,47.75,-90.34
24381,MN,Carlton,46.5,-92.68
24383,MN,Itasca,47.29,-93.4
24412,MN,St. Louis,47.4,-92.94
24413,MN,Aitkin,46.98,-93.59
24431,MN,Koochiching,48.11,-93.07
24465,MN,Olmsted,44.01,-92.47
24471,MN,Mower,43.56,-92.71
24472,MN,Winona,44.06,-91.93
24476,MN,Houston,43.69,-91.28
24479,MN,Fillmore,43.53,-91.92
24481,MN,Dodge,44.04,-92.99
24538,MN,Blue Earth,44.16,-93.99
24540,MN,Nicollet,44.16,-93.99
24542,MN,Freeborn,43.65,-93.36
24546,MN,Faribault,43.63,-94.09
24549,MN,Le Sueur,44.32,-93.83
24550,MN,Brown,44.11,-94.9
24553,MN,Watonwan,44.05,-94.83
24562,MN,Martin,43.64,-94.45
24577,MN,Waseca,44.11,-93.7
24601,MN,Redwood,44.21,-95.12
24613,MN,Cottonwood,43.86,-95.11
24614,MN,Nobles,43.63,-95.93
24615,MN,Jackson,43.63,-94.87
24616,MN,Lincoln,44.38,-96.18
24617,MN,Murray,43.94,-95.64
24618,MN,Lyon,44.23,-95.87
24619,MN,Rock,43.61,-96.36
24629,MN,Pipestone,43.87,-96.13
24680,MN,Kandiyohi,45.12,-95.04
24681,MN,Stevens,45.57,-96.05
24682,MN,Swift,45.2,-96.02
24684,MN,Big Stone,45.55,-96.55
24686,MN,Lac Qui Parle,45.13,-96.28
24691,MN,Traverse,45.59,-96.83
24692,MN,Yellow Medicine,44.71,-96.26
24694,MN,Chippewa,44.95,-95.36
24714,MN,Grant,45.81,-96.13
24759,MN,Douglas,45.87,-95.37
24765,MN,Morrison,45.82,-94.4
24769,MN,Todd,45.86,-94.68
24773,MN,Pope,45.61,-95.73
24774,MN,Otter Tail,46.17,-95.91
24779,MN,Benton,45.66,-93.9
24837,MN,Crow Wing,46.35,-94.19
24839,MN,Cass,47.06,-94.5
24841,MN,Hubbard,47,-94.72
24864,MN,Wadena,46.74,-95.1
24881,MN,Becker,46.81,-95.84
24883,MN,Norman,47.29,-96.51
24885,MN,Clay,46.64,-96.41
24887,MN,Mahnomen,47.44,-95.97
24888,MN,Polk,47.54,-96.52
24891,MN,Wilkin,46.26,-96.58
24957,MN,Beltrami,47.48,-94.87
24959,MN,Clearwater,47.52,-95.4
24960,MN,Lake of the Woods,48.71,-94.58
24997,MN,Roseau,48.8,-95.1
25010,MN,Pennington,48.11,-96.17
25011,MN,Marshall,48.19,-96.99
25015,MN,Red Lake,47.81,-96
25017,MN,Kittson,48.57,-96.89
25063,SD,Union,43.02,-96.62
25064,SD,Brookings,44.28,-96.68
25065,SD,Minnehaha,43.75,-96.73
25070,SD,Clay,42.76,-96.83
25071,SD,McCook,43.59,-97.29
25072,SD,Lincoln,43.3,-96.58
25073,SD,Turner,43.11,-96.95
25075,SD,Lake,43.89,-96.92
25076,SD,Moody,43.98,-96.81
25086,SD,Hutchinson,43.35,-97.43
25088,SD,Yankton,42.88,-97.17
25107,SD,Kingsbury,44.22,-97.3
25115,SD,Bon Homme,43.14,-97.71
25155,SD,Codington,44.91,-97.16
25157,SD,Deuel,44.55,-96.54
25159,SD,Grant,45.29,-96.46
25160,SD,Clark,45.09,-97.64
25162,SD,Day,45.34,-97.74
25164,SD,Hamlin,44.58,-97.46
25166,SD,Roberts,45.85,-97.1
25171,SD,Marshall,45.61,-97.42
25212,SD,Davison,43.73,-98.03
25213,SD,Hanson,43.65,-97.77
25214,SD,Jerauld,44.18,-98.36
25215,SD,Douglas,43.31,-98.34
25216,SD,Sanborn,44,-97.92
25218,SD,Gregory,43.07,-98.94
25220,SD,Miner,43.88,-97.5
25223,SD,Beadle,44.37,-98.04
25224,SD,Brule,43.8,-99.32
25227,SD,Charles Mix,43.03,-98.18
25234,SD,Buffalo,44.04,-99.41
25239,SD,Hyde,44.52,-99.43
25251,SD,Hand,44.52,-98.98
25254,SD,Lyman,43.79,-99.38
25257,SD,Aurora,43.71,-98.48
25274,SD,Brown,45.46,-98.48
25276,SD,Walworth,45.33,-100.12
25279,SD,Spink,44.99,-98.49
25282,SD,Edmunds,45.45,-99.65
25288,SD,Faulk,45.16,-98.94
25290,SD,McPherson,45.76,-99.62
25295,SD,Potter,45,-99.95
25324,SD,Hughes,44.37,-100.32
25325,SD,Sully,44.83,-100.07
25326,SD,Jackson,43.83,-101.27
25329,SD,Tripp,43.26,-99.71
25331,SD,Jones,43.92,-100.53
25332,SD,Stanley,44.36,-100.37
25344,SD,Bennett,43.17,-101.72
25345,SD,Haakon,44.07,-101.15
25347,SD,Todd,43.3,-100.66
25349,SD,Mellette,43.46,-101.2
25368,SD,Perkins,45.52,-102.46
25369,SD,Corson,45.76,-101.08
25370,SD,Ziebach,44.6,-101.5
25372,SD,Dewey,45,-101.23
25373,SD,Meade,45.02,-102.03
25376,SD,Campbell,45.83,-100.07
25390,SD,Harding,45.77,-103.06
25399,SD,Pennington,44.07,-103.23
25405,SD,Shannon,43.12,-102.1
25406,SD,Butte,44.66,-103.85
25410,SD,Custer,43.49,-103.31
25414,SD,Lawrence,44.38,-103.72
25415,SD,Fall River,43.29,-103.82
25457,ND,Richland,46.44,-96.72
25458,ND,Cass,46.97,-97.39
25464,ND,Traill,47.34,-97.21
25467,ND,Sargent,46.07,-97.38
25473,ND,Ransom,46.62,-97.59
25476,ND,Barnes,46.76,-97.79
25487,ND,Steele,47.32,-97.71
25530,ND,Grand Forks,47.91,-97.07
25538,ND,Walsh,48.41,-98.07
25539,ND,Nelson,47.67,-97.98
25541,ND,Pembina,48.88,-97.47
25559,ND,Cavalier,48.97,-98.69
25591,ND,Ramsey,48.11,-98.87
25592,ND,Rolette,48.57,-99.66
25594,ND,Pierce,48.16,-100.03
25596,ND,Towner,48.62,-99.37
25597,ND,Bottineau,48.82,-100.44
25598,ND,Wells,47.72,-99.36
25607,ND,Benson,48.03,-99.76
25621,ND,Eddy,47.68,-99.13
25642,ND,Stutsman,46.91,-98.69
25645,ND,McIntosh,46.03,-99.37
25646,ND,Lamoure,46.37,-98.48
25647,ND,Griggs,47.55,-98.34
25650,ND,Foster,47.45,-99.12
25656,ND,Kidder,46.86,-99.75
25658,ND,Sheridan,47.48,-100.26
25661,ND,Dickey,46,-98.52
25664,ND,Logan,46.32,-99.09
25687,ND,Burleigh,47.15,-100.52
25711,ND,Morton,46.72,-101.5
25713,ND,Mercer,47.26,-101.77
25714,ND,Emmons,46.56,-100.08
25715,ND,Sioux,46.31,-100.63
25716,ND,Grant,46.42,-101.57
25717,ND,Oliver,47.11,-101.29
25718,ND,McLean,47.54,-101.22
25752,ND,Stark,46.88,-102.78
25754,ND,Slope,46.48,-103.31
25755,ND,Golden Valley,46.91,-104
25757,ND,Bowman,46.18,-103.4
25758,ND,Dunn,47.3,-102.2
25760,ND,Billings,47.18,-103.21
25764,ND,McKenzie,47.4,-103.25
25767,ND,Adams,46,-102.63
25774,ND,Hettinger,46.37,-102.31
25784,ND,Ward,48.23,-101.29
25790,ND,McHenry,47.88,-100.24
25796,ND,Burke,48.8,-102.24
25801,ND,Divide,48.91,-103.29
25808,ND,Renville,48.51,-101.22
25815,ND,Williams,48.6,-102.93
25823,ND,Mountrail,47.98,-102.49
25864,MT,Stillwater,45.5,-109.56
25865,MT,Yellowstone,45.98,-108.68
25866,MT,Rosebud,45.45,-106.21
25869,MT,Carbon,45.13,-109.15
25871,MT,Treasure,46.01,-107.31
25872,MT,Sweet Grass,45.96,-109.85
25877,MT,Big Horn,45.44,-107.04
25878,MT,Park,45.86,-110.65
25890,MT,Fergus,47.02,-108.88
25894,MT,Wheatland,46.48,-109.88
25901,MT,Golden Valley,46.44,-109
25905,MT,Meagher,46.47,-110.53
25906,MT,Musselshell,46.57,-107.93
25909,MT,Garfield,47.08,-107.8
25912,MT,Powder River,45.14,-106.08
25933,MT,Petroleum,47.03,-108.61
25953,MT,Roosevelt,48.28,-105.66
25954,MT,Sheridan,48.69,-104.36
25957,MT,McCone,47.07,-105.86
25959,MT,Richland,47.57,-104.26
25963,MT,Daniels,48.71,-105.17
25964,MT,Valley,48,-106.44
25984,MT,Dawson,47.71,-105.03
25986,MT,Phillips,48.58,-107.42
25994,MT,Custer,46.22,-105.6
25995,MT,Carter,45.23,-104.53
25997,MT,Fallon,46.28,-104.28
26007,MT,Prairie,46.73,-104.88
26023,MT,Wibaux,47.01,-104.32
26025,MT,Cascade,47.51,-111.27
26031,MT,Lewis and Clark,47.58,-112.6
26032,MT,Glacier,48.78,-113.37
26035,MT,Pondera,48.02,-111.57
26038,MT,Teton,48.04,-112.38
26039,MT,Chouteau,47.88,-111.02
26049,MT,Toole,48.59,-112.1
26057,MT,Judith Basin,47.2,-110.44
26067,MT,Liberty,48.53,-112.15
26089,MT,Hill,48.56,-109.73
26093,MT,Blaine,48.47,-109.21
26120,MT,Jefferson,46.32,-112.41
26129,MT,Broadwater,46.2,-111.63
26136,MT,Silver Bow,46,-112.44
26140,MT,Madison,45.06,-112.11
26141,MT,Deer Lodge,46.12,-112.97
26142,MT,Powell,46.65,-112.6
26143,MT,Gallatin,45.81,-111.15
26152,MT,Beaverhead,44.78,-112.62
26186,MT,Missoula,46.85,-113.99
26194,MT,Mineral,46.86,-114.59
26195,MT,Lake,47.16,-114
26200,MT,Ravalli,45.89,-114.04
26204,MT,Sanders,47.25,-114.35
26205,MT,Granite,46.65,-113.24
26239,MT,Flathead,48.19,-114.38
26249,MT,Lincoln,48.82,-114.93
26269,IL,McHenry,42.45,-88.53
26270,IL,Lake,42.47,-88.07
26271,IL,Cook,42.09,-87.98
26300,IL,Mchenry,42.23,-88.33
26353,IL,Dupage,41.93,-88
26361,IL,Kane,42.05,-88.54
26363,IL,Dekalb,42.02,-88.84
26365,IL,Ogle,41.93,-88.96
26457,IL,Will,41.34,-87.61
26462,IL,Grundy,41.22,-88.26
26472,IL,Livingston,41.09,-88.42
26521,IL,La Salle,41.15,-88.65
26548,IL,Kendall,41.71,-88.4
26563,IL,Lee,41.79,-88.94
26699,IL,Kankakee,41.11,-87.86
26701,IL,Iroquois,40.87,-87.95
26708,IL,Ford,40.99,-88.2
26719,IL,Vermilion,40.46,-87.79
26733,IL,Champaign,40.38,-88.12
26756,IL,Jo Daviess,42.5,-90.09
26759,IL,Boone,42.25,-88.84
26763,IL,Stephenson,42.37,-89.63
26764,IL,Carroll,42.01,-89.88
26766,IL,Winnebago,42.24,-88.96
26779,IL,Whiteside,41.78,-89.76
26841,IL,Rock Island,41.47,-90.58
26844,IL,Mercer,41.19,-90.74
26846,IL,Henry,41.29,-90.29
26891,IL,Bureau,41.47,-89.24
26905,IL,Putnam,41.26,-89.22
26939,IL,Marshall,41,-89.13
26950,IL,Knox,40.95,-90.37
26953,IL,McDonough,40.41,-90.5
26954,IL,Warren,41.06,-90.55
26960,IL,Henderson,40.85,-90.86
26968,IL,Stark,41.11,-89.7
26969,IL,Fulton,40.49,-90.19
26988,IL,Hancock,40.58,-90.97
26989,IL,Peoria,40.91,-89.91
26990,IL,Schuyler,40.23,-90.62
27024,IL,Woodford,40.85,-89.12
